resource_name,resource_type,location,owner,environment,cost_center,created_date,last_modified_date,tags,subscription_id,resource_group_name,resource_id,sku,status,provisioning_state,managed_by,monthly_cost,compliance_status,backup_enabled,monitoring_enabled,security_group,public_ip_enabled,encryption_status,identity_type,migration_wave,migration_status,on_premises_server,dependencies
satestwhite87,Microsoft.Storage/storageAccounts,east-us,Homer,test,CC001,2025-05-11,2025-06-11,"owner=Homer,env=test,cost_center=CC001,backup=required",c3d4e5f6-g7h8-9012-cdef-123456789012,RG-TEST-HOMER,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/RG-TEST-HOMER/providers/Microsoft.Storage/storageAccounts/satestwhite87,Standard_LRS,running,Succeeded,,47.73,NonCompliant,disabled,enabled,nsg-test-5,False,enabled,UserAssigned,Wave 3,Failed,,
sadevcharacter13,Microsoft.Storage/storageAccounts,East US,Marge,dev,CC003,2024-01-14,2025-04-12,"Environment=dev,Owner=Marge,CostCenter=CC003",a1b2c3d4-e5f6-7890-abcd-ef1234567890,resourcegroup-dev-nothing,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/resourcegroup-dev-nothing/providers/Microsoft.Storage/storageAccounts/sadevcharacter13,Standard_LRS,Stopped,InProgress,,35.65,UNKNOWN,enabled,yes,nsg-dev-9,true,,None,WAVE 2,NotStarted,SPNF-LATER-138,
sqlDevpast92,Microsoft.Sql/servers,Shelbyville,Marge,Dev,NUCLEAR_OPS,2024-07-11,2024-08-15,"Environment=Dev,Owner=Marge,CostCenter=NUCLEAR_OPS",b2c3d4e5-f6g7-8901-bcde-f12345678901,resourcegroup-Dev-Mr,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/resourcegroup-Dev-Mr/providers/Microsoft.Sql/servers/sqlDevpast92,Basic,Running,succeeded,,1675.76,Compliant,true,no,nsg-Dev-5,True,Not Configured,system-assigned,wave1,NotStarted,,"res-someone-926,res-anyone-153,res-traditional-559"
springfield-nsg-product-production,Microsoft.Network/networkSecurityGroups,uk-south,Lisa,production,CC001,2023-08-12,2024-06-05,"env=production,owner=lisa,department=nuclear",b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-PRODUCTION-LISA,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-PRODUCTION-LISA/providers/Microsoft.Network/networkSecurityGroups/springfield-nsg-product-production,Basic,Stopped,Succeeded,,10.61,NonCompliant,1,disabled,nsg-production-4,True,Disabled,system-assigned,Wave 1,InProgress,SPNF-I-341,"res-pick-822,res-management-686"
vnet-test-newspaper-111,Microsoft.Network/virtualNetworks,UK South,Bart,test,CC002,2025-05-11,2025-06-06,Environment:test;Owner:Bart;Project:Migration,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Bart-test-rg,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/Bart-test-rg/providers/Microsoft.Network/virtualNetworks/vnet-test-newspaper-111,Premium,Failed,Failed,,28.12,N/A,False,1,nsg-test-2,yes,enabled,system-assigned,WAVE 2,completed,SPNF-SOCIAL-962,
rodriguez-graham-sql-112,Microsoft.Sql/servers,uk-south,Milhouse,production,,2023-06-26,2025-01-06,"Environment=production,Owner=Milhouse,CostCenter=",b2c3d4e5-f6g7-8901-bcde-f12345678901,Milhouse-production-rg,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/Milhouse-production-rg/providers/Microsoft.Sql/servers/rodriguez-graham-sql-112,Basic,Updating,Failed,,1677.39,N/A,1,true,nsg-production-9,False,enabled,system-assigned,Wave 1,IN PROGRESS,SPNF-TYPE-639,
springfield-vnet-month-development,Microsoft.Network/virtualNetworks,East US,Marge,development,CC002,2024-10-21,2025-02-13,"env=development,owner=marge,department=nuclear",a1b2c3d4-e5f6-7890-abcd-ef1234567890,Marge-development-rg,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/Marge-development-rg/providers/Microsoft.Network/virtualNetworks/springfield-vnet-month-development,Basic,Updating,Failed,,32.7,compliant,1,enabled,nsg-development-5,yes,Disabled,system-assigned,wave1,not started,SPNF-THOUGHT-477,
ci-STAGING-purpose-983,Microsoft.ContainerInstance/containerGroups,Shelbyville,Bart,STAGING,NUCLEAR_OPS,2025-02-17,2025-05-30,"owner=Bart,env=STAGING,cost_center=NUCLEAR_OPS,backup=required",c3d4e5f6-g7h8-9012-cdef-123456789012,springfield-STAGING-resources,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/springfield-STAGING-resources/providers/Microsoft.ContainerInstance/containerGroups/ci-STAGING-purpose-983,Premium,Running,Failed,,552.96,Non-Compliant,False,True,,False,Not Configured,SystemAssigned,Wave 4,Failed,SPNF-WHY-590,
kv-Test-a-672,Microsoft.KeyVault/vaults,east-us,Homer,Test,CC002,2025-03-30,2025-06-16,,a1b2c3d4-e5f6-7890-abcd-ef1234567890,springfield-Test-resources,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/springfield-Test-resources/providers/Microsoft.KeyVault/vaults/kv-Test-a-672,Premium,Running,Failed,,55.67,Compliant,0,True,nsg-Test-9,enabled,,None,Wave 4,not started,SPNF-FOOD-914,
kvtestarticle58,Microsoft.KeyVault/vaults,Shelbyville,Lisa,test,NUCLEAR_OPS,2025-02-03,2025-05-17,"owner=Lisa,env=test,cost_center=NUCLEAR_OPS,backup=required",b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-TEST-LISA,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-TEST-LISA/providers/Microsoft.KeyVault/vaults/kvtestarticle58,Premium,Updating,Succeeded,,44.96,Non-Compliant,yes,no,nsg-test-9,false,Disabled,UserAssigned,Wave 2,Failed,SPNF-SPACE-724,
arroyo-martin-lb-212,Microsoft.Network/loadBalancers,east-us,Marge,PROD,NUCLEAR_OPS,2025-05-01,2025-06-11,"owner=Marge,env=PROD,cost_center=NUCLEAR_OPS,backup=required",c3d4e5f6-g7h8-9012-cdef-123456789012,rg-PROD-marge,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/rg-PROD-marge/providers/Microsoft.Network/loadBalancers/arroyo-martin-lb-212,Basic,Updating,succeeded,,55.01,compliant,yes,1,nsg-PROD-7,enabled,,UserAssigned,Wave 4,InProgress,,
"vaughn,marquezandross-nsg-170",Microsoft.Network/networkSecurityGroups,westus,Lisa,qa,NUCLEAR_OPS,2024-11-09,2025-04-03,"owner=Lisa,env=qa,cost_center=NUCLEAR_OPS,backup=required",c3d4e5f6-g7h8-9012-cdef-123456789012,rg-qa-lisa,"/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/rg-qa-lisa/providers/Microsoft.Network/networkSecurityGroups/vaughn,marquezandross-nsg-170",Premium,running,Succeeded,,1.68,UNKNOWN,True,0,,yes,Not Configured,None,Wave 2,Failed,SPNF-LEFT-780,"res-we-771,res-nation-975"
springfield-vnet-end-prod,Microsoft.Network/virtualNetworks,Springfield,Marge,prod,,2024-08-27,2024-11-24,,a1b2c3d4-e5f6-7890-abcd-ef1234567890,rg-prod-marge,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/rg-prod-marge/providers/Microsoft.Network/virtualNetworks/springfield-vnet-end-prod,Standard,Stopped,Failed,,127.49,NonCompliant,True,False,,false,,UserAssigned,Wave 4,IN PROGRESS,,
springfield-cosmos-account-uat,Microsoft.DocumentDB/databaseAccounts,eastus,Lisa,uat,NUCLEAR_OPS,2023-08-15,2023-09-08,Environment:uat;Owner:Lisa;Project:Migration,a1b2c3d4-e5f6-7890-abcd-ef1234567890,resourcegroup-uat-drop,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/resourcegroup-uat-drop/providers/Microsoft.DocumentDB/databaseAccounts/springfield-cosmos-account-uat,Basic,STOPPED,succeeded,,426.82,N/A,False,false,nsg-uat-4,false,enabled,SystemAssigned,wave1,completed,,
"young,caldwellandlewis-sa-843",Microsoft.Storage/storageAccounts,eastus,Lisa,development,nuclear-ops,2025-01-05,2025-04-25,"owner=Lisa,env=development,cost_center=nuclear-ops,backup=required",b2c3d4e5-f6g7-8901-bcde-f12345678901,Lisa-development-rg,"/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/Lisa-development-rg/providers/Microsoft.Storage/storageAccounts/young,caldwellandlewis-sa-843",Standard_GRS,Updating,Failed,,76.04,N/A,yes,disabled,nsg-development-9,0,Not Configured,system-assigned,WAVE 2,not started,,res-part-286
aguirre-lee-kv-30,Microsoft.KeyVault/vaults,uk-south,Lisa,production,CC002,2024-11-16,2025-05-02,"owner=Lisa,env=production,cost_center=CC002,backup=required",b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-PRODUCTION-LISA,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-PRODUCTION-LISA/providers/Microsoft.KeyVault/vaults/aguirre-lee-kv-30,Premium,Failed,InProgress,,61.14,NonCompliant,yes,enabled,,False,Enabled,UserAssigned,WAVE 2,Failed,SPNF-HEALTH-777,
"brown,valdezandlucas-kv-227",Microsoft.KeyVault/vaults,Springfield,Bart,STAGING,CC003,2024-05-01,2025-01-19,,c3d4e5f6-g7h8-9012-cdef-123456789012,springfield-STAGING-resources,"/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/springfield-STAGING-resources/providers/Microsoft.KeyVault/vaults/brown,valdezandlucas-kv-227",Premium,Updating,InProgress,,29.84,N/A,enabled,no,nsg-STAGING-8,yes,enabled,None,Wave 2,NotStarted,SPNF-SUCH-324,
springfield-sql-energy-staging,Microsoft.Sql/servers,eastus,Homer,staging,CC002,2024-05-16,2024-10-05,"Environment=staging,Owner=Homer,CostCenter=CC002",b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-STAGING-HOMER,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-STAGING-HOMER/providers/Microsoft.Sql/servers/springfield-sql-energy-staging,Premium,Stopped,InProgress,,204.47,NonCompliant,True,yes,,true,,None,WAVE 2,InProgress,SPNF-FAMILY-771,
cosmos-Dev-maintain-452,Microsoft.DocumentDB/databaseAccounts,Shelbyville,Marge,Dev,nuclear-ops,2023-08-02,2024-12-20,,a1b2c3d4-e5f6-7890-abcd-ef1234567890,rg-Dev-marge,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/rg-Dev-marge/providers/Microsoft.DocumentDB/databaseAccounts/cosmos-Dev-maintain-452,Premium,Updating,Succeeded,,1185.77,N/A,true,True,,disabled,enabled,SystemAssigned,Wave 2,NotStarted,SPNF-NOW-427,
martingroup-app-305,Microsoft.Web/sites,Shelbyville,Marge,development,NUCLEAR_OPS,2023-12-07,2024-10-13,Environment:development;Owner:Marge;Project:Migration,c3d4e5f6-g7h8-9012-cdef-123456789012,rg-development-marge,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/rg-development-marge/providers/Microsoft.Web/sites/martingroup-app-305,Basic,STOPPED,Succeeded,,190.57,Non-Compliant,False,yes,nsg-development-3,False,Disabled,SystemAssigned,Wave 2,NotStarted,SPNF-WEIGHT-706,
gallowayllc-vm-881,Microsoft.Compute/virtualMachines,eastus,Marge,staging,,2025-02-22,2025-05-21,"Environment=staging,Owner=Marge,CostCenter=",a1b2c3d4-e5f6-7890-abcd-ef1234567890,resourcegroup-staging-with,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/resourcegroup-staging-with/providers/Microsoft.Compute/virtualMachines/gallowayllc-vm-881,Standard_B2s,Updating,Succeeded,,295.05,N/A,True,yes,nsg-staging-2,true,Disabled,None,wave1,IN PROGRESS,SPNF-FEELING-944,
"stanley,tuckerandlee-vnet-553",Microsoft.Network/virtualNetworks,UK South,Marge,uat,CC001,2023-08-08,2024-10-30,"owner=Marge,env=uat,cost_center=CC001,backup=required",c3d4e5f6-g7h8-9012-cdef-123456789012,rg-uat-marge,"/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/rg-uat-marge/providers/Microsoft.Network/virtualNetworks/stanley,tuckerandlee-vnet-553",Premium,STOPPED,InProgress,,63.34,Compliant,false,False,nsg-uat-10,disabled,Enabled,None,wave1,NotStarted,SPNF-SIMPLY-180,
brown-silva-vnet-834,Microsoft.Network/virtualNetworks,eastus,Milhouse,test,nuclear-ops,2025-06-07,2025-06-19,"owner=Milhouse,env=test,cost_center=nuclear-ops,backup=required",b2c3d4e5-f6g7-8901-bcde-f12345678901,Milhouse-test-rg,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/Milhouse-test-rg/providers/Microsoft.Network/virtualNetworks/brown-silva-vnet-834,Premium,Failed,Succeeded,,86.84,compliant,1,0,nsg-test-7,enabled,Enabled,system-assigned,Wave 1,Complete,,
ci-dev-coach-556,Microsoft.ContainerInstance/containerGroups,Springfield,Lisa,dev,NUCLEAR_OPS,2023-08-15,2025-01-20,"Environment=dev,Owner=Lisa,CostCenter=NUCLEAR_OPS",b2c3d4e5-f6g7-8901-bcde-f12345678901,springfield-dev-resources,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/springfield-dev-resources/providers/Microsoft.ContainerInstance/containerGroups/ci-dev-coach-556,Premium,STOPPED,succeeded,,618.79,Non-Compliant,yes,enabled,,yes,Not Configured,system-assigned,Wave 1,NotStarted,SPNF-TRAINING-624,"res-easy-163,res-international-319,res-call-565"
ci-Test-year-862,Microsoft.ContainerInstance/containerGroups,westus,Homer,Test,nuclear-ops,2023-08-26,2024-07-16,,c3d4e5f6-g7h8-9012-cdef-123456789012,resourcegroup-Test-president,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/resourcegroup-Test-president/providers/Microsoft.ContainerInstance/containerGroups/ci-Test-year-862,Basic,STOPPED,InProgress,,183.73,UNKNOWN,0,False,nsg-Test-3,1,Disabled,UserAssigned,Wave 1,Complete,SPNF-REALLY-875,
donovan-harris-vnet-594,Microsoft.Network/virtualNetworks,westus,Marge,dev,nuclear-ops,2024-02-23,2024-08-26,"env=dev,owner=marge,department=nuclear",c3d4e5f6-g7h8-9012-cdef-123456789012,Marge-dev-rg,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/Marge-dev-rg/providers/Microsoft.Network/virtualNetworks/donovan-harris-vnet-594,Premium,Failed,succeeded,,49.62,compliant,False,False,nsg-dev-4,1,Enabled,None,WAVE 2,Failed,SPNF-EVIDENCE-831,
kv-dev-individual-989,Microsoft.KeyVault/vaults,UK South,Homer,dev,CC001,2023-07-01,2024-06-20,,c3d4e5f6-g7h8-9012-cdef-123456789012,Homer-dev-rg,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/Homer-dev-rg/providers/Microsoft.KeyVault/vaults/kv-dev-individual-989,Standard,STOPPED,Failed,,15.25,N/A,True,false,nsg-dev-5,no,,system-assigned,WAVE 2,NotStarted,SPNF-PRETTY-873,
lb-PROD-order-909,Microsoft.Network/loadBalancers,eastus,Lisa,PROD,CC002,2023-08-16,2024-02-21,"owner=Lisa,env=PROD,cost_center=CC002,backup=required",c3d4e5f6-g7h8-9012-cdef-123456789012,resourcegroup-PROD-upon,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/resourcegroup-PROD-upon/providers/Microsoft.Network/loadBalancers/lb-PROD-order-909,Standard,STOPPED,Succeeded,,418.88,Compliant,false,0,,yes,Enabled,SystemAssigned,Wave 3,completed,,
sqlstagingfeel88,Microsoft.Sql/servers,westus,Marge,staging,CC002,2025-03-11,2025-06-21,Environment:staging;Owner:Marge;Project:Migration,a1b2c3d4-e5f6-7890-abcd-ef1234567890,springfield-staging-resources,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/springfield-staging-resources/providers/Microsoft.Sql/servers/sqlstagingfeel88,GeneralPurpose,running,Failed,,1045.57,NonCompliant,True,False,nsg-staging-5,0,enabled,SystemAssigned,Wave 4,Complete,SPNF-ACROSS-162,
huynh-garcia-cosmos-257,Microsoft.DocumentDB/databaseAccounts,Shelbyville,Lisa,Dev,CC002,2023-10-06,2024-04-28,Environment:Dev;Owner:Lisa;Project:Migration,b2c3d4e5-f6g7-8901-bcde-f12345678901,Lisa-Dev-rg,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/Lisa-Dev-rg/providers/Microsoft.DocumentDB/databaseAccounts/huynh-garcia-cosmos-257,Standard,Stopped,succeeded,,593.33,NonCompliant,yes,yes,,1,enabled,SystemAssigned,wave1,completed,SPNF-BUSINESS-763,"res-voice-764,res-both-509,res-situation-853"
springfield-app-expert-production,Microsoft.Web/sites,westus,Bart,production,,2024-12-08,2025-03-20,,a1b2c3d4-e5f6-7890-abcd-ef1234567890,rg-production-bart,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/rg-production-bart/providers/Microsoft.Web/sites/springfield-app-expert-production,Premium,Updating,Succeeded,,720.71,N/A,True,false,nsg-production-6,1,Disabled,UserAssigned,Wave 2,completed,SPNF-MOUTH-995,
springfield-vnet-western-test,Microsoft.Network/virtualNetworks,uk-south,Marge,test,CC001,2024-01-24,2024-02-27,Environment:test;Owner:Marge;Project:Migration,b2c3d4e5-f6g7-8901-bcde-f12345678901,rg-test-marge,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/rg-test-marge/providers/Microsoft.Network/virtualNetworks/springfield-vnet-western-test,Standard,Stopped,succeeded,,48.53,,enabled,no,,1,Enabled,None,wave1,NotStarted,SPNF-ABOUT-689,"res-goal-599,res-spend-391"
springfield-sa-everybody-qa,Microsoft.Storage/storageAccounts,Springfield,Homer,qa,,2024-05-21,2024-05-28,"env=qa,owner=homer,department=nuclear",a1b2c3d4-e5f6-7890-abcd-ef1234567890,Homer-qa-rg,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/Homer-qa-rg/providers/Microsoft.Storage/storageAccounts/springfield-sa-everybody-qa,Premium_LRS,STOPPED,succeeded,Homer-automation,36.59,Compliant,true,yes,nsg-qa-2,false,Disabled,UserAssigned,Wave 4,Failed,SPNF-BROTHER-973,"res-bag-430,res-you-602,res-use-761"
springfield-kv-church-production,Microsoft.KeyVault/vaults,Springfield,Marge,production,nuclear-ops,2023-09-30,2023-11-01,Environment:production;Owner:Marge;Project:Migration,b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-PRODUCTION-MARGE,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-PRODUCTION-MARGE/providers/Microsoft.KeyVault/vaults/springfield-kv-church-production,Premium,Running,InProgress,,104.84,N/A,no,true,nsg-production-4,false,Not Configured,SystemAssigned,WAVE 2,InProgress,SPNF-FOOT-612,res-his-806
apptestworker9,Microsoft.Web/sites,Springfield,Bart,test,CC002,2024-01-03,2025-06-04,"Environment=test,Owner=Bart,CostCenter=CC002",b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-TEST-BART,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-TEST-BART/providers/Microsoft.Web/sites/apptestworker9,Basic,Running,InProgress,,174.51,Non-Compliant,True,enabled,nsg-test-3,false,Enabled,UserAssigned,Wave 1,Complete,SPNF-BOARD-244,
sql-Dev-health-760,Microsoft.Sql/servers,eastus,Homer,Dev,nuclear-ops,2025-06-15,2025-06-17,"Environment=Dev,Owner=Homer,CostCenter=nuclear-ops",b2c3d4e5-f6g7-8901-bcde-f12345678901,resourcegroup-Dev-wish,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/resourcegroup-Dev-wish/providers/Microsoft.Sql/servers/sql-Dev-health-760,Basic,Updating,Failed,,1896.29,Compliant,enabled,yes,nsg-Dev-1,true,Not Configured,system-assigned,Wave 4,IN PROGRESS,,"res-treatment-76,res-commercial-921"
springfield-nsg-cost-production,Microsoft.Network/networkSecurityGroups,east-us,Homer,production,NUCLEAR_OPS,2025-02-20,2025-05-10,"Environment=production,Owner=Homer,CostCenter=NUCLEAR_OPS",c3d4e5f6-g7h8-9012-cdef-123456789012,resourcegroup-production-go,/subscriptions/c3d4e5f6-g7h8-9012-cdef-123456789012/resourceGroups/resourcegroup-production-go/providers/Microsoft.Network/networkSecurityGroups/springfield-nsg-cost-production,Premium,running,succeeded,,5.95,N/A,false,enabled,nsg-production-4,1,Not Configured,UserAssigned,Wave 4,Complete,SPNF-SUFFER-409,
nsgTesttreat48,Microsoft.Network/networkSecurityGroups,UK South,Marge,Test,CC001,2024-04-16,2024-05-16,"owner=Marge,env=Test,cost_center=CC001,backup=required",a1b2c3d4-e5f6-7890-abcd-ef1234567890,rg-Test-marge,/subscriptions/a1b2c3d4-e5f6-7890-abcd-ef1234567890/resourceGroups/rg-Test-marge/providers/Microsoft.Network/networkSecurityGroups/nsgTesttreat48,Standard,Updating,Succeeded,,7.45,compliant,True,enabled,,enabled,,None,WAVE 2,NotStarted,SPNF-TOWN-895,
vmDevdoctor14,Microsoft.Compute/virtualMachines,westus,Lisa,Dev,,2023-12-17,2024-06-07,Environment:Dev;Owner:Lisa;Project:Migration,b2c3d4e5-f6g7-8901-bcde-f12345678901,RG-DEV-LISA,/subscriptions/b2c3d4e5-f6g7-8901-bcde-f12345678901/resourceGroups/RG-DEV-LISA/providers/Microsoft.Compute/virtualMachines/vmDevdoctor14,Standard_D4s_v3,Failed,InProgress,,181.27,compliant,disabled,False,nsg-Dev-9,disabled,,SystemAssigned,wave1,IN PROGRESS,SPNF-AGENT-274,
